condition_concept_name	organ_type
Endocrine neoplasm	
Gastrinoma	
Fuchs' syndrome	
Eye laser scar	
Retinal neoplasm	
Retinal microaneurysms	
Rectal cancer stage II	
Peritoneal mesothelioma malignant	
Pancreatic carcinoma stage III	
Mesenteric venous occlusion	
Administration site reaction	
Biliary polyp	
Gallbladder cancer stage IV	
Selective IgG subclass deficiency	
Abscess fungal	
Burns fourth degree	
Biopsy heart abnormal	
Blood pressure ambulatory decreased	
Metabolic function test	
Protein albumin ratio	
Urine albumin/creatinine ratio	
Chlamydia serology positive	
Soft tissue atrophy	
Nervous system neoplasm	
Cervix carcinoma stage IV	
Female reproductive neoplasm	
Scrotal cancer	
Erb's palsy	
Brief psychotic disorder, with postpartum onset	
Labour pain	
Uterine cervical pain	
Noninfective bronchitis	
Sick relative	
Tanning	
Breast cyst drainage	
Pancreas islet cell transplant	
Eye prosthesis insertion	
Cochlea implant	
Portal shunt	
Salpingo-oophorectomy unilateral	
Bladder neck operation	
Urinary calculus removal	
Neuromuscular blocking therapy	
Allergenic desensitisation procedure	
Diabetes mellitus management	
Organ transplant	
Aneurysm arteriovenous	
Vein wall hypertrophy	
Popliteal stenosis	
Pseudohyponatraemia	
Anaplastic thyroid cancer	
Device allergy	
Transitional cell carcinoma urethra	
Skin texture abnormal	
Diabetic metabolic decompensation	
Hypercementosis	
Gastric hypertonia	
Plateletcrit decreased	
Blood cholinesterase abnormal	
N-telopeptide urine increased	
Endometrial cancer stage IV	
Endometrial neoplasm	
Genital prolapse	
Uterine prolapse repair	
Cystic fibrosis related diabetes	
Distal ileal obstruction syndrome	
Meconium ileus	
Sputum decreased	
Factor XIII deficiency	
Oculoauriculovertebral dysplasia	
Polyglandular disorder	
Pancreatitis viral	
Buccoglossal syndrome	
Sympathomimetic effect	
Sydenham's chorea	
Apgar score abnormal	
Red blood cells semen positive	
Foetal acidosis	
Echopraxia	
Thought broadcasting	
Purging	
Pyromania	
Emotional disorder of childhood	
Sexual inhibition	
Hair plucking	
Violent ideation	
Urethral syndrome	
Asthenospermia	
Testicular torsion	
Puberty	
Threat of redundancy	
Delinquency	
Fight in school	
Craniofacial deformity	
Acute promyelocytic leukaemia differentiation syndrome	
Factor XII deficiency	
POEMS syndrome	
Bone marrow leukaemic cell infiltration	
Myeloid metaplasia	
Acute megakaryocytic leukaemia	
Prolymphocytic leukaemia	
Leukaemia monocytic	
B-cell lymphoma stage III	
Diffuse large B-cell lymphoma refractory	
Mantle cell lymphoma refractory	
Cardiac autonomic neuropathy	
Trisomy 8	
Argininosuccinate synthetase deficiency	
Cystinosis	
Dentofacial anomaly	
Primary adrenal insufficiency	
Conjunctivochalasis	
Optic disc vascular disorder	
Panophthalmitis	
Epulis	
Oesophagitis bacterial	
Epiploic appendagitis	
Papilla of Vater stenosis	
Whipple's disease	
Gastric cancer stage 0	
Omentum neoplasm	
Tongue amyloidosis	
Strangulated hernia	
Colitis pseudomembranous	
Toxic dilatation of colon	
Pharyngeal candidiasis	
Hepatic vein occlusion	Hepatic
Bile duct cancer stage III	
Haemorrhagic urticaria	
Haemophilus bacteraemia	
Meningitis haemophilus	
Sepsis pasteurella	
Meningitis streptococcal	
Fungal rhinitis	
Cranial nerve infection	
Pneumonia parainfluenzae viral	
Corona virus infection	
Neuromuscular toxicity	
Psychosis postoperative	
Blood stem cell harvest failure	
Blood gonadotrophin decreased	
Blood antidiuretic hormone decreased	
Urine human chorionic gonadotropin positive	
Full blood count	
Platelet count normal	
Granulocyte count	
Endoscopic retrograde cholangiopancreatography abnormal	
Transaminases	
Blood pH abnormal	
Amino acid level decreased	
Inspiratory capacity abnormal	
Maximal voluntary ventilation decreased	
Blood heavy metal increased	
Cerebral salt-wasting syndrome	
Pulmonary haemosiderosis	Pulmonary
Synovial sarcoma	
Necrolytic migratory erythema	
Central nervous system leukaemia	
Bladder cancer stage IV	
Renal cancer recurrent	Renal
Genital neoplasm malignant female	
Prostate cancer stage 0	
Pharyngeal neoplasm benign	
Lung squamous cell carcinoma stage II	Pulmonary
Lung squamous cell carcinoma stage IV	Pulmonary
Lung carcinoma cell type unspecified stage II	Pulmonary
Porocarcinoma	
Uterine leiomyosarcoma	
Glossopharyngeal nerve paralysis	
Cerebrospinal fistula	
Lipiduria	
Cervix inflammation	
Neutrophilic panniculitis	
Bromhidrosis	
Ileocolectomy	
Caecum operation	
Haematopoietic stem cell mobilisation	
Vitamin supplementation	
Hypothrombinaemia	
Injection site granuloma	
Heparin-induced thrombocytopenia test positive	
Yersinia test positive	
Pneumocystis test positive	
Tonsil cancer metastatic	
Oropharyngeal squamous cell carcinoma	
Gallbladder adenocarcinoma	
Burkholderia infection	
Oligoastrocytoma	
Laryngeal squamous cell carcinoma	
Squamous cell carcinoma of pharynx	
Human metapneumovirus test positive	
Transplantation complication	
Meningoencephalitis viral	
Cluttering	
Sclerema	
Acquired protein S deficiency	
Dysglobulinaemia	
Post transplant distal limb syndrome	
Langerhans' cell granulomatosis	
Blast cell proliferation	
Spur cell anaemia	
Burkitt's leukaemia	
Chronic eosinophilic leukaemia	
Juvenile chronic myelomonocytic leukaemia	
Eosinophilic leukaemia	
Hodgkin's disease mixed cellularity recurrent	
B-cell lymphoma stage II	
B-cell unclassifiable lymphoma high grade	
Burkitt's lymphoma recurrent	
Burkitt's lymphoma stage II	
Burkitt's lymphoma stage III	
Burkitt's lymphoma stage IV	
Follicle centre lymphoma, follicular grade I, II, III recurrent	
Nodal marginal zone B-cell lymphoma	
Anaplastic large cell lymphoma T- and null-cell types recurrent	
Peripheral T-cell lymphoma unspecified recurrent	
Precursor T-lymphoblastic lymphoma/leukaemia	
Heavy chain disease	
Adenoiditis	
Lymphadenitis viral	
Gastrosplenic fistula	
Splenic infection fungal	
Eosinopenia	
Granulocytopenia neonatal	
Heart-lung transplant rejection	
Shone complex	
Tricuspid valve calcification	
Pulmonary artery wall hypertrophy	Pulmonary
Cardiomyopathy neonatal	
Cytomegalovirus myocarditis	
Myocarditis mycotic	
Myocarditis septic	
Right atrial hypertrophy	Cardiac
Bacterial pericarditis	
Pericarditis fungal	
Pericarditis lupus	
Congenital cerebrovascular anomaly	
Chimerism	
Teratogenicity	
Congenital aural fistula	
Iris coloboma	
Anophthalmos	
Coloboma	
Cleft uvula	
Congenital tongue anomaly	
Microglossia	
Combined immunodeficiency	
Glycogen storage disorder	
Microstomia	
Platybasia	
Cerebral atrophy congenital	
Pelvic kidney	
Uterine hypoplasia	
Cloacal exstrophy	
Keratosis follicular	
Cogan's syndrome	
VIIIth nerve injury	
VIIIth nerve lesion	
Adrenocortical insufficiency neonatal	
Emphysematous pyelonephritis	
Secondary sexual characteristics absence	
Lymphocytic hypophysitis	
Hormone-secreting ovarian tumour	
Thyrotoxic periodic paralysis	
Anterior chamber opacity	
Conjunctival deposit	
Corneal exfoliation	
Detached Descemet's membrane	
Iris bombe	
Fibrin deposition on lens postoperative	
Lacrimal gland enlargement	
Keratitis viral	
Tubulointerstitial nephritis and uveitis syndrome	
Meibomian gland discharge	
Candida endophthalmitis	
Retinitis viral	
Necrotising scleritis	
Iris injury	
Iris neoplasm	
Neoplasm of orbit	
Carcinoma in situ of eye	
Pupillary deformity	
Scleral thinning	
Atrophy of globe	
Necrotising herpetic retinopathy	
Radiation retinopathy	
Corneal epithelium disorder	
Dacryocystitis infective	
Inflammatory pseudotumour	
Peridiverticulitis	
Anal fistula infection	
Anovulvar fistula	
Parasitic gastroenteritis	
Amoebic colitis	
Peritoneal candidiasis	
Necrotising gastritis	
Malacoplakia gastrointestinal	
Anorectal ulcer	
Anal cancer metastatic	
Colorectal cancer recurrent	
Cheilosis	
Herpangina	
Retroperitoneal infection	
Tongue necrosis	
Buccal cavity papilloma	
Gastric cancer stage IV with metastases	
Atrophy of tongue papillae	
Vaccination site erythema	
Vaccination site pain	
Cytarabine syndrome	
Gallbladder fistula	
Neonatal cholestasis	
Hepatic amoebiasis	
Hepatic infection fungal	
Hepatic vein stenosis	Hepatic
Hepatitis infectious mononucleosis	
Mixed hepatocellular cholangiocarcinoma	
Necrotising panniculitis	
Anaphylactic transfusion reaction	
Laryngotracheal oedema	
Eczema herpeticum	
Schnitzler's syndrome	
Shrinking lung syndrome	Pulmonary
Encephalitis post measles	
Infection masked	
Segmented hyalinising vasculitis	
Selective IgA immunodeficiency	
Localised skin reaction	
Malacoplakia vesicae	
Post streptococcal glomerulonephritis	
Eczema impetiginous	
Scrotal gangrene	
Neuroborreliosis	
Cellulitis enterococcal	
Lemierre syndrome	
Weil's disease	
Pneumonia moraxella	
Encephalitis meningococcal	
Staphylococcal impetigo	
Bronchitis pneumococcal	
Pyoderma streptococcal	
Cryptococcal fungaemia	
Trichophytic granuloma	
Pseudallescheria infection	
Tinea blanca	
Trichophytosis	
Perichondritis	
Purulent synovitis	
Uterine abscess	
Pyopneumothorax	
Amniotic infection syndrome of Blane	
Peritonsillitis	
Arteritis infective	
Infected varicose vein	
Tuberculous tenosynovitis	
Tracheobronchitis mycoplasmal	
Ureaplasma infection	
Acanthamoeba infection	
Cutaneous leishmaniasis	
Mucocutaneous leishmaniasis	
Pneumonia toxoplasmal	
Human ehrlichiosis	
Pneumonia adenoviral	
Cytomegalovirus myelomeningoradiculitis	
Central nervous system enteroviral infection	
Herpes pharyngitis	
Herpes sepsis	
Herpes simplex visceral	
Pneumonia measles	
Viral tonsillitis	
Laryngotracheitis	
Chemical cystitis	
Diffuse axonal injury	
Brown-Sequard syndrome	
Airway burns	
Anastomotic fistula	
Graft haemorrhage	
Ureteric anastomosis complication	
Urethral perforation	
Multiple gated acquisition scan abnormal	
Stroke volume decreased	
Mean arterial pressure increased	
Glucocorticoids increased	
Aldolase abnormal	
Fibrinolysis abnormal	
Plasminogen decreased	
Blast cell count decreased	
Erythroblast count decreased	
Red blood cell agglutination present	
B-lymphocyte count increased	
Lymphoblast count increased	
Natural killer cell count increased	
Neutrophil percentage abnormal	
Hepaplastin decreased	
Anti-glomerular basement membrane antibody positive	
Anti-platelet antibody	
Antimitochondrial antibody	
Antineutrophil cytoplasmic antibody decreased	
Alpha tumour necrosis factor increased	
Radioallergosorbent test positive	
Antibody test	
Human anti-human antibody test	
PaO2/FiO2 ratio decreased	
Endothelin abnormal	
Bacteria body fluid identified	
Bacterial antigen positive	
Clostridium difficile toxin test	
Syphilis test	
Blood beta-D-glucan decreased	
Cryptococcus antigen positive	
Fungus urine test positive	
Seroconversion test positive	
Anti-HBe antibody positive	
Cytomegalovirus antigen	
HTLV-1 test positive	
Hepatitis B DNA assay	
Hepatitis B e antigen positive	
Hepatitis B virus test	
Human herpes virus 6 serology	
Synovial fluid crystal present	
CSF oligoclonal band present	
CSF polymorphonuclear cell count increased	
Somatosensory evoked potentials abnormal	
Optic nerve cup/disc ratio increased	
Seidel test positive	
Forced expiratory volume increased	
Podagra	
SAPHO syndrome	
Extraskeletal osteosarcoma	
Liposarcoma metastatic	
Cystosarcoma phyllodes	
Choriocarcinoma	
Germ cell cancer metastatic	
Spinal meningioma benign	
Nervous system neoplasm benign	
Neurilemmoma benign	
Primitive neuroectodermal tumour	
Papillary tumour of renal pelvis	
Vaginal cancer stage 0	
Vulval cancer metastatic	
Genital neoplasm malignant male	
Testicular germ cell cancer	
Testicular germ cell cancer metastatic	
Nasal neoplasm benign	
Benign respiratory tract neoplasm	
Large cell lung cancer stage IV	Pulmonary
Tracheal cancer	
Superficial spreading melanoma stage I	
Superficial spreading melanoma stage II	
Urinary bladder sarcoma	
Vagus nerve paralysis	
Progressive bulbar palsy	
Pseudoradicular syndrome	
Stereotypic movement disorder	
Painful response to normal stimuli	
Lesion of sciatic nerve	
Abortion late	
Failed induction of labour	
Retroplacental haematoma	
Meconium abnormal	
Multiple pregnancy	
Bladder fibrosis	
Renal pelvis fistula	Renal
Renal arteritis	Renal
Renal artery hyperplasia	Renal
Acquired hydrocele	
Endometrioma	
Bronchial dysplasia	
Bronchial ulceration	
Diffuse panbronchiolitis	
Necrosis of bronchioli	
Lung induration	Pulmonary
Pleural rub	
Pharyngeal fistula	
Tonsillar ulcer	
Tracheal ulcer	
Dapsone syndrome	
Reactive perforating collagenosis	
Acne conglobata	
Acne fulminans	
Nail atrophy	
Asteatosis	
Sebaceous glands overactivity	
Joint prosthesis user	
Organ donor	
Rheumatoid nodule removal	
Pericardial operation	
Keratoplasty	
Scleral graft	
Peritoneal lavage	
Gastric stapling	
Intestinal transplant	
Duodenostomy	
Turbinectomy	
Biliary anastomosis	
Epididymectomy	
Ureteric operation	
Ureteroneocystostomy	
Depilation	
Bursal operation	
Spinal anaesthesia	
Abscess management	
Removal of transplanted organ	
Gastrectomy partial	
Artificial anus	
Suprapubic catheter insertion	
Autoimmune lymphoproliferative syndrome	
Mesenteric lymphadenopathy	
Acute haemorrhagic oedema of infancy	
Red cell fragmentation syndrome	
Acanthamoeba keratitis	
Viral uveitis	
Chronic graft versus host disease in intestine	
Arterioenteric fistula	
Bile acid malabsorption	
Vaccination site swelling	
Chronic spontaneous urticaria	
Rasmussen encephalitis	
Chronic graft versus host disease in liver	
Pre-engraftment immune reaction	
Burkholderia cepacia complex sepsis	
Central nervous system fungal infection	
Substance-induced mood disorder	
Laryngeal haematoma	
Hepatitis B e antibody positive	
Human herpes virus 8 test positive	
Borrelia test positive	
Burkholderia test positive	
Listeria test positive	
Nocardia test positive	
Reduced bladder capacity	
Renal vascular thrombosis	Renal
Bronchial metaplasia	
Bone hyperpigmentation	
Benign rolandic epilepsy	
Hodgkin's disease nodular sclerosis	
Enteropathy-associated T-cell lymphoma	
Mycotic endophthalmitis	
Pleomorphic adenoma	
Injection site plaque	
Appendix cancer	
Herpes simplex pharyngitis	
Varicella zoster pneumonia	
Herpes zoster meningitis	
Hyperferritinaemia	
Leukostasis syndrome	
Monoclonal B-cell lymphocytosis	
Post infection glomerulonephritis	
Platelet toxicity	
Periorbital infection	
Application site necrosis	
Injection site vasculitis	
Post embolisation syndrome	
Hepatic echinococciasis	
Citrobacter sepsis	
Biopsy gingival	
Rhinitis atrophic	
Transfusion associated graft versus host disease	
Influenza virus test positive	
Right ventricle outflow tract obstruction	
Preauricular cyst	
Congenital genital malformation male	
Corneal leukoma	
Truncus coeliacus thrombosis	
Necrotising ulcerative gingivostomatitis	
Salivary duct inflammation	
Application site pigmentation changes	
Tonsillitis bacterial	
Staphylococcal pharyngitis	
Lupus vulgaris	
Cervicitis human papilloma virus	
Neuropsychological test abnormal	
Thyroid hormones increased	
Tracheal neoplasm	
Phonological disorder	
Vaginal erythema	
Joint irrigation	
Mastoidectomy	
Myringotomy	
CSF shunt operation	
Melanocytic hyperplasia	
Small fibre neuropathy	
Nasal pruritus	
Vena cava filter removal	
Porphyrins stool increased	
Vagal nerve stimulator implantation	
Amniotic band syndrome	
General physical condition normal	
Alpha 1 foetoprotein decreased	
Protein induced by vitamin K absence or antagonist II increased	
Metastases to diaphragm	
Choledochoenterostomy	
Thyroid cancer stage IV	
Dental leakage	
Refractory cancer	
Methaemoglobinuria	
Stress polycythaemia	
Neonatal tachycardia	
Trisomy 13	
Pulmonary oedema neonatal	
Congenital anomaly of adrenal gland	
Congenital hiatus hernia	
Choledochal cyst	
Macrognathia	
Clinodactyly	
Congenital limb hyperextension	
Fibula agenesis	
Microdactyly	
Congenital scoliosis	
Congenital emphysema	
Congenital pneumonia	
Diabetic encephalopathy	
Myopathy endocrine	
Hypergonadism	
Malignant neoplasm of lacrimal duct	
Deformity of orbit	
Pelvic floor dyssynergia	
Teething	
Visceral oedema	
Gastritis alcoholic	
Mesenteric fibrosis	
Megacolon acquired	
Fever neonatal	
Tobacco interaction	
Tyramine reaction	
Gynaecological chlamydia infection	
Embolic pneumonia	
Cytomegalovirus syndrome	
Ear abrasion	
Asherman's syndrome	
Failed forceps delivery	
Dehydroepiandrosterone test	
Blood catecholamines decreased	
Endocrine test abnormal	
Blood human chorionic gonadotropin decreased	
condition_concept_name	
Progesterone abnormal	
White blood cells stool	
Red blood cell rouleaux formation present	
Blood 1,25-dihydroxycholecalciferol increased	
Head lag abnormal	
Amino acid level abnormal	
Sperm analysis abnormal	
Spermatozoa morphology abnormal	
Antipsychotic drug level	
Drug screen	
Opiates	
Histamine intolerance	
Carnitine deficiency	
Metastases to urinary tract	
Teratoma benign	
Melanomatous meningitis	
Ovarian low malignant potential tumour	
Testicular cancer metastatic	
Profound mental retardation	
Rabbit syndrome	
Respiratory dyskinesia	
Somatoform disorder neurologic	
Somnolence neonatal	
Dysprosody	
Convulsion in childhood	
Epileptic psychosis	
Atypical benign partial epilepsy	
Abortion of ectopic pregnancy	
Transverse presentation	
Failed trial of labour	
Maternal distress during labour	
Prolonged pregnancy	
Pregnancy with advanced maternal age	
Ochlophobia	
Thanatophobia	
Paramnesia	
Thought withdrawal	
Paroxysmal perceptual alteration	
Derailment	
Compulsive hoarding	
Delusional disorder, erotomanic type	
Childhood psychosis	
Schizophrenia simple	
Gender identity disorder	
Trigonitis	
Renal artery atherosclerosis	Renal
Perineal fistula	
Seminal vesicular disorder	
Vulvovaginal disorder	
Mucocutaneous ulceration	
Trans-sexualism	
Victim of elder abuse	
Psychological abuse	
Fasting	
Eye prosthesis user	
Passive smoking	
Death of friend	
Sexual offence	
Chemical abuser	
Thyroid therapy	
Neck exploration	
Cholecystostomy	
Meningioma surgery	
Alcohol rehabilitation	
Lung neoplasm surgery	
Hair transplant	
Sedative therapy	
Asthma prophylaxis	
Manipulation	
Methylenetetrahydrofolate reductase deficiency	
Intracranial lipoma	
Autoimmune neuropathy	
Pump reservoir issue	
CYP2D6 polymorphism	
Product dosage form confusion	
Bacterial translocation	
Alveolar-arterial oxygen gradient increased	
Ovarian cancer stage II	
Internal fixation of spine	
Pharyngeal dyskinesia	
Action tremor	
Wound healing normal	
Pharmacophobia	
Compulsive handwashing	
Brachydactyly	
Premenstrual dysphoric disorder	
Drug dose titration not performed	
Multiple drug therapy	
Factor II deficiency	
Placental transfusion syndrome	
Congenital thymus absence	
Congenital anomaly of inner ear	
Umbilical malformation	
Intestinal atresia	
Congenital cleft hand	
Congenital genital malformation female	
Pseudohermaphroditism female	
Congenital pyloric stenosis	
Luteal phase deficiency	
Contact lens complication	
Papillophlebitis	
Anal fungal infection	
Infantile colic	
Implant site calcification	
Necrobiosis	
Lupus hepatitis	
Asthma late onset	
Smoke sensitivity	
Urticaria contact	
Escherichia vaginitis	
Gardnerella infection	
Vulvovaginitis streptococcal	
Central nervous system abscess	
Fallopian tube abscess	
Urinary tract infection neonatal	
Parapharyngeal abscess	
Decompression sickness	
Contraceptive device complication	
Fallopian tube perforation	
Premature ovulation	
Vaginal perforation	
Incision site inflammation	
Blood luteinising hormone abnormal	
Oestradiol abnormal	
Pregnancy test negative	
Progesterone increased	
Biopsy uterus	
Biopsy vagina	
Colposcopy	
Nuclear magnetic resonance imaging breast abnormal	
Ultrasound ovary abnormal	
Fontanelle depressed	
Malignant nipple neoplasm female	
Degeneration of uterine fibroid	
Fallopian tube neoplasm	
Dermoid cyst of ovary	
Subarachnoid haemorrhage neonatal	
Paraesthesia of genital female	
Thermohyperaesthesia	
Post abortion haemorrhage	
Abortion spontaneous incomplete	
Foetal malposition	
False labour	
Delayed delivery	
Precipitate labour	
Gestational trophoblastic detachment	
Neonatal respiratory arrest	
Haemorrhage neonatal	
Breast milk discolouration	
Uterine inversion	
Thelitis	
Cervical friability	
Cervix oedema	
Menstrual discomfort	
Ovarian necrosis	
Ovarian rupture	
Endometrial hypoplasia	
Uterine synechiae	
Vulval leukoplakia	
Cervical stricture	
Acrodermatitis	
Death of parent	
Ovulation induction	
Endometriosis ablation	
Rectal injury	
Gardnerella test positive	
Subchorionic haemorrhage	
Premenstrual cramps	
Unintentional medical device removal	
Endometrial stromal sarcoma	
Oestrogen receptor positive breast cancer	
Dilutional coagulopathy	
Heart block congenital	
Finger hypoplasia	
Postpartum sepsis	
Bone marrow eosinophilic leukocyte count increased	
CSF protein abnormal	
Borderline mental impairment	
Uterine tenderness	
Haematidrosis	
Reperfusion arrhythmia	
Noonan syndrome	
Arteritis coronary	
Dissecting coronary artery aneurysm	
Purulent pericarditis	
Atrial bigeminy	
Choroidal coloboma	
Congenital optic nerve anomaly	
Retinal anomaly congenital	
Congenital large intestinal atresia	
Glycogen storage disease type V	
Pterygium colli	
Supernumerary nipple	
Abnormal palmar/plantar creases	
Keratosis obturans	
Pigmentary glaucoma	
Eyelid vascular disorder	
Photokeratitis	
Cyclitis	
Lid margin discharge	
Hippus	
Orbital cyst	
Anal dilatation	
Tooth delamination	
Uraemic gastropathy	
Gastroenteritis aeromonas	
Radiation dysphagia	
Mesenteric arteriosclerosis	
Gastric cancer stage III	
Metastases to oesophagus	
Oesophageal adenocarcinoma metastatic	
Oesophageal carcinoma stage 0	
Oddi's sphincter constriction	
Implant site rash	
Infusion site burning	
Stoma site pain	
Hepatic artery embolism	
Perihepatic discomfort	
Encephalitis allergic	
Chronic cutaneous lupus erythematosus	
Streptobacillus infection	
Arthropod infestation	
Septic necrosis	
Infected naevus	
Fluorosis	
Chest crushing	
Nerve root injury cervical	
Face crushing	
Leg crushing	
Polyneuropathy toxic	
Cardiac electrophysiologic study abnormal	Cardiac
Exercise electrocardiogram	
Pulse waveform abnormal	
Radial pulse	
Angiogram peripheral abnormal	
Thyroid gland scan abnormal	
Thyroid function test normal	
Tri-iodothyronine uptake decreased	
Biopsy thyroid gland abnormal	
Amniotic fluid volume increased	
Pancreatic enzymes abnormal	
Gastric lavage abnormal	
Coagulation time	
Thrombin time	
Red blood cell poikilocytes present	
Red blood cell target cells present	
Neutrophil Pelger-Huet anomaly present	
Plasma cells present	
White blood cell agglutination present	
White blood cell analysis increased	
C1 esterase inhibitor decreased	
Complement factor C4 increased	
Eosinophil cationic protein increased	
Blood immunoglobulin A	
Light chain analysis	
Skin test	
Very low density lipoprotein abnormal	
Blood homocysteine abnormal	
Xanthochromia	
Olfactory test abnormal	
Medical observation abnormal	
Beta globulin decreased	
Procalcitonin	
Urine protein, quantitative	
Semen viscosity abnormal	
Spermatozoa progressive motility abnormal	
Blood copper abnormal	
Iodine deficiency	
Thoracic spine flattening	
Bursa calcification	
Intravascular papillary endothelial hyperplasia	
Chemodectoma	
Benign neoplasm of pineal gland	
Paranasal sinus benign neoplasm	
Superficial spreading melanoma stage IV	
Glossopharyngeal nerve disorder	
Up and down phenomenon	
Analgesia	
Visual midline shift syndrome	
Sciatic nerve palsy	
Generalised non-convulsive epilepsy	
Foetal malpresentation	
Erythema toxicum neonatorum	
Overconfidence	
Alice in wonderland syndrome	
Bladder granuloma	
Testicular necrosis	
Vaginal exfoliation	
Genital pain female	
Umbilical erythema	
Bankruptcy	
Dependence on enabling machine or device	
Transmyocardial revascularisation	
Tricuspid valve replacement	
Hormone therapy	
Oesophageal lesion excision	
Haemoperfusion	
Salivary gland operation	
Neurolysis	
Craniectomy	
Spinal cord drainage	
Kidney anastomosis	
Pyeloplasty	
Thoracoplasty	
Dupuytren's contracture operation	
Fasciectomy	
Tenolysis	
Renal and pancreas transplant	
Compression stockings application	
Foetal methotrexate syndrome	
Tooth demineralisation	
Pancreatic cyst rupture	
Corrosive gastritis	
Neurological complication associated with device	
Rebound psoriasis	
Sphingomonas paucimobilis infection	
Mycobacterium tuberculosis complex test	
Bladder dysplasia	
Cerebral haemosiderin deposition	
Aortic stent insertion	
Extrinsic iliac vein compression	
Iliac artery rupture	
Lung wedge resection	
Cardiac contusion	
Hypocalvaria	
Spinal cord haematoma	
Forced vital capacity decreased	
Blood viscosity decreased	
Procedural anxiety	
Splenic thrombosis	
Implant site thrombosis	
Cholangiectasis acquired	
Inflammatory carcinoma of breast stage IV	
Extramammary Paget's disease	
Radiotherapy to brain	
Slipped femoral epiphysis	
Encephalitis enteroviral	
Photodynamic therapy	
Horseshoe kidney	
Autophony	
Oral mucosal hypertrophy	
Basophil count abnormal	
Hypocarnitinaemia	
Diverticular hernia	
Hodgkin's disease nodular sclerosis stage IV	
Splenic candidiasis	
Phalangeal hypoplasia	
Yolk sac tumour site unspecified	
Penis carcinoma recurrent	
Enterovirus test positive	
CNS germinoma	
Arachnophobia	
Pseudoxanthoma elasticum	
Corneal epithelial microcysts	
Tongue dysplasia	
Alcoholic hangover	
Glucocorticoids decreased	
5'nucleotidase increased	
Lipids	
Microbiology test abnormal	
HIV test false positive	
Body height	
Total lung capacity increased	
Analgesic drug level below therapeutic	
Antasthmatic drug level below therapeutic	
Taciturnity	
Vocal cord atrophy	
Non-consummation	
Promiscuity	
Ex-drug abuser	
Vocal cord nodule removal	
Cerebral lobotomy	
Skin cosmetic procedure	
Smoking cessation therapy	
Documented hypersensitivity to administered product	
Catheter site erosion	
Intestinal stoma site bleeding	
Lip infection	
Bacterial prostatitis	
Hypotelorism of orbit	
Prolactin-producing pituitary tumour	
Cerebrospinal fluid rhinorrhoea	
Labour onset delayed	
Bleeding peripartum	
Transmission of an infectious agent via product	
Perineal injury	
Fertility increased	
Albumin globulin ratio	
Nitrite urine	
Inhibiting antibodies	
Echo virus infection	
Hemiplegia transient	
Analgesic intervention supportive therapy	
Polymorphic eruption of pregnancy	
Injection site eczema	
Haemopneumothorax	
Product contamination with body fluid	
Enzyme level decreased	
Immunoglobulin therapy	
Phyllodes tumour	
Incision site vesicles	
Anti-interferon antibody positive	
Application site laceration	
Coagulation disorder neonatal	
Factor II mutation	
Factor IX inhibition	
Histiocytic necrotising lymphadenitis	
T-cell prolymphocytic leukaemia	
Hodgkin's disease refractory	
Primary mediastinal large B-cell lymphoma recurrent	
Red blood cell agglutination	
Lymph node fibrosis	
Persistent generalised lymphadenopathy	
Spleen malformation	
Eosinophilia myalgia syndrome	
Monocytopenia	
Atrioventricular extrasystoles	
Malignant hypertensive heart disease	Cardiac
Congenital tricuspid valve stenosis	
Congenital great vessel anomaly	
Grey syndrome neonatal	
Pericarditis malignant	
Radiation pericarditis	
VATER syndrome	
Persistent left superior vena cava	
X-linked chromosomal disorder	
Foetal alcohol syndrome	
Foetal warfarin syndrome	
Tumour necrosis factor receptor-associated periodic syndrome	
Mitochondrial encephalomyopathy	
Distichiasis	
Anorectal agenesis	
Primary immunodeficiency syndrome	
Adactyly	
Cryopyrin associated periodic syndrome	
Poland's syndrome	
Congenital kyphoscoliosis	
Chondrodystrophy	
Lissencephaly	
Septum pellucidum agenesis	
Tuberous sclerosis	
Epilepsy congenital	
Moebius II syndrome	
Laryngeal cleft	
Congenital pharyngeal anomaly	
Congenital ectodermal dysplasia	
Cholesterol granuloma	
Vestibular nystagmus	
Adrenal haematoma	
Giant papillary conjunctivitis	
Keratitis interstitial	
Ocular pemphigoid	
Metastatic ocular melanoma	
Conjunctival primary acquired melanosis	
Penetrating abdominal trauma	
Traumatic occlusion	
Giant cell epulis	
Pylorus dilatation	
Enterochromaffin cell hyperplasia	
Anorectal infection bacterial	
Viral oesophagitis	
Bacterascites	
Pylorospasm	
Jejunal ulcer perforation	
Rectosigmoid cancer stage I	
Lip and/or oral cavity cancer stage IV	
Pseudomyxoma peritonei	
Radiation proctitis	
Gum neoplasm malignant stage unspecified	
Herpetic gingivostomatitis	
Application site atrophy	
Application site cold feeling	
Application site photosensitivity reaction	
Instillation site pruritus	
Implant site discolouration	
Implant site hypersensitivity	
Infusion site paraesthesia	
Infusion site scab	
Failure of child resistant mechanism for pharmaceutical product	
Hepatic infection bacterial	
Periportal sinus dilatation	
Acute fatty liver of pregnancy	
Biliary adenoma	
Bile duct cancer stage IV	
Lewis-Sumner syndrome	
Erythema marginatum	
Roseola	
Vaginal cellulitis	
Tularaemia	
Plague	
Meningitis coccidioides	
Colostomy infection	
Miliary pneumonia	
Pyelocystitis	
Infection protozoal	
Urogenital trichomoniasis	
Rickettsiosis	
